timestamp,episode,blue_steps,blue_epsilon,qtable_states,blue_return,blue_len,blue_food,blue_dead,blue_best_score,blue_total_food,blue_total_deaths,last_td_error
1778654181,110,25056,0.02,11227,-770.3400000000001,86,1,0,16,529,47,4.594583029848375
1778654193,111,25179,0.02,11259,572.4899999999993,123,7,1,16,536,48,-121.04
1778654204,112,25298,0.02,11287,-1267.9200000000005,119,2,0,16,538,48,-2.092838046032048
1778654213,113,25396,0.02,11301,-422.20000000000005,98,3,1,16,541,49,-122.56
1778654226,114,25527,0.02,11327,-1201.5499999999995,131,1,0,16,542,49,3.4494376694046274
1778654258,115,25856,0.02,11416,-3415.7000000000016,329,6,1,16,548,50,-116.72
1778654289,116,26166,0.02,11488,-2443.18,310,6,1,16,554,51,-122.32000000000001
1778654301,117,26286,0.02,11516,-1190.3099999999997,120,4,0,16,558,51,-154.6285
1778654317,118,26452,0.02,11559,-1199.3100000000006,166,5,0,16,563,51,-2.366313
1778654325,119,26541,0.02,11579,-1265.56,89,1,0,16,564,51,19.546317386404077
1778654332,120,26618,0.02,11600,-785.0899999999998,77,2,0,16,566,51,2.8074276762679595
1778654347,121,26768,0.02,11649,-1629.15,150,0,0,16,566,51,2.655233297902562
1778654369,122,26993,0.02,11687,-1939.4800000000012,225,5,0,16,571,51,2.1565312067967497
1778654406,123,27378,0.02,11763,-3439.889999999996,385,7,1,16,578,52,-116.64
1778654417,124,27500,0.02,11797,-969.2100000000011,122,3,1,16,581,53,-116.96
1778654427,125,27605,0.02,11815,-681.9199999999992,105,2,0,16,583,53,9.805446892483165
1778654453,126,27887,0.02,11868,-2902.5500000000015,282,3,0,16,586,53,-6.712713490685548
1778654481,127,28182,0.02,11903,-1894.6799999999978,295,7,1,16,593,54,-116.64
1778654500,128,28391,0.02,11944,-1876.2400000000002,209,4,0,16,597,54,-0.8264194192968002
1778654519,129,28589,0.02,11983,-1733.729999999999,198,4,1,16,601,55,-122.48
1778654563,130,29044,0.02,12115,-2114.8299999999967,455,8,0,16,609,55,2.9702902879011948
1778654584,131,29266,0.02,12149,-1977.9000000000024,222,7,0,16,616,55,13.169018642619413
1778654612,132,29561,0.02,12197,-2632.450000000003,295,8,0,16,624,55,22.549959828777908
1778654648,133,29952,0.02,12282,-3651.840000000006,391,2,1,16,626,56,-122.64
1778654679,134,30279,0.02,12328,-3362.5899999999956,327,3,0,16,629,56,3.546045208006313
1778654688,135,30373,0.02,12340,-945.6000000000001,94,2,0,16,631,56,2.9539999999999997
1778654713,136,30628,0.02,12380,-1429.6399999999992,255,7,0,16,638,56,4.653999999999999
1778654722,137,30723,0.02,12405,-387.5400000000002,95,2,0,16,640,56,27.720050819505172
1778654738,138,30899,0.02,12443,-1896.059999999996,176,1,1,16,641,57,-117.12
1778654754,139,31068,0.02,12476,-1779.2000000000005,169,4,0,16,645,57,3.8455549343147384
1778654772,140,31251,0.02,12500,-1583.5799999999992,183,6,0,16,651,57,-152.15458310933823
1778654784,141,31387,0.02,12516,-1476.3999999999992,136,2,0,16,653,57,12.037768079862701
